name,symbol,lot_size
360ONE,NSE:360ONE25OCT1520CE,500
ABB,NSE:ABB25OCT2800CE,125
ABCAPITAL,NSE:ABCAPITAL25OCT355CE,3100
ADANIENSOL,NSE:ADANIENSOL25OCT1130CE,675
ADANIENT,NSE:ADANIENT25OCT3260CE,300
ADANIGREEN,NSE:ADANIGREEN25OCT600CE,600
ADANIPORTS,NSE:ADANIPORTS25OCT800CE,475
ALKEM,NSE:ALKEM25OCT3850CE,125
AMBER,NSE:AMBER25OCT11800CE,100
AMBUJACEM,NSE:AMBUJACEM25OCT750CE,1050
ANGELONE,NSE:ANGELONE25OCT2950CE,250
APLAPOLLO,NSE:APLAPOLLO25OCT2260CE,350
APOLLOHOSP,NSE:APOLLOHOSP25OCT5850CE,125
ASHOKLEY,NSE:ASHOKLEY25OCT80CE,5000
ASIANPAINT,NSE:ASIANPAINT25OCT1240CE,250
ASTRAL,NSE:ASTRAL25OCT2000CE,425
AUBANK,NSE:AUBANK25OCT950CE,1000
AUROPHARMA,NSE:AUROPHARMA25OCT1460CE,550
AXISBANK,NSE:AXISBANK25OCT1510CE,625
BAJAJ-AUTO,NSE:BAJAJ-AUTO25OCT5900CE,75
BAJAJFINSV,NSE:BAJAJFINSV25OCT1320CE,500
BAJFINANCE,NSE:BAJFINANCE25OCT1310CE,750
BANDHANBNK,NSE:BANDHANBNK25OCT105CE,3600
BANKBARODA,NSE:BANKBARODA25OCT337.5CE,2925
BANKINDIA,NSE:BANKINDIA25OCT161CE,5200
BANKNIFTY,NSE:BANKNIFTY25OCT33000CE,35
BDL,NSE:BDL25OCT2020CE,325
BEL,NSE:BEL25OCT550CE,2850
BHARATFORG,NSE:BHARATFORG25OCT640CE,500
BHARTIARTL,NSE:BHARTIARTL25OCT1260CE,475
BHEL,NSE:BHEL25OCT307.5CE,2625
BIOCON,NSE:BIOCON25OCT245CE,2500
BLUESTARCO,NSE:BLUESTARCO25OCT2200CE,325
BOSCHLTD,NSE:BOSCHLTD25OCT57000CE,25
BPCL,NSE:BPCL25OCT230CE,1975
BRITANNIA,NSE:BRITANNIA25OCT7450CE,125
BSE,NSE:BSE25OCT1350CE,375
CAMS,NSE:CAMS25OCT5050CE,150
CANBK,NSE:CANBK25OCT159CE,6750
CDSL,NSE:CDSL25OCT1980CE,475
CGPOWER,NSE:CGPOWER25OCT890CE,850
CHOLAFIN,NSE:CHOLAFIN25OCT840CE,625
CIPLA,NSE:CIPLA25OCT1870CE,375
COALINDIA,NSE:COALINDIA25OCT297.5CE,1350
COFORGE,NSE:COFORGE25OCT1180CE,375
COLPAL,NSE:COLPAL25OCT1120CE,225
CONCOR,NSE:CONCOR25OCT695CE,1250
CROMPTON,NSE:CROMPTON25OCT450CE,1800
CUMMINSIND,NSE:CUMMINSIND25OCT2000CE,200
CYIENT,NSE:CYIENT25OCT1540CE,425
DABUR,NSE:DABUR25OCT655CE,1250
DALBHARAT,NSE:DALBHARAT25OCT2980CE,325
DELHIVERY,NSE:DELHIVERY25OCT220CE,2075
DIVISLAB,NSE:DIVISLAB25OCT4600CE,100
DIXON,NSE:DIXON25OCT21750CE,50
DLF,NSE:DLF25OCT360CE,825
DMART,NSE:DMART25OCT2300CE,150
DRREDDY,NSE:DRREDDY25OCT1590CE,625
EICHERMOT,NSE:EICHERMOT25OCT8000CE,175
ETERNAL,NSE:ETERNAL25OCT190CE,2425
EXIDEIND,NSE:EXIDEIND25OCT510CE,1800
FEDERALBNK,NSE:FEDERALBNK25OCT135CE,5000
FINNIFTY,NSE:FINNIFTY25OCT29850CE,65
FORTIS,NSE:FORTIS25OCT1230CE,775
GAIL,NSE:GAIL25OCT115CE,3150
GLENMARK,NSE:GLENMARK25OCT1000CE,375
GMRAIRPORT,NSE:GMRAIRPORT25OCT48CE,6975
GODREJCP,NSE:GODREJCP25OCT560CE,500
GODREJPROP,NSE:GODREJPROP25OCT1080CE,275
GRASIM,NSE:GRASIM25OCT4000CE,250
HAL,NSE:HAL25OCT2700CE,150
HAVELLS,NSE:HAVELLS25OCT760CE,500
HCLTECH,NSE:HCLTECH25OCT1820CE,350
HDFCAMC,NSE:HDFCAMC25OCT2900CE,150
HDFCBANK,NSE:HDFCBANK25OCT610CE,1100
HDFCLIFE,NSE:HDFCLIFE25OCT530CE,1100
HEROMOTOCO,NSE:HEROMOTOCO25OCT6850CE,150
HFCL,NSE:HFCL25OCT38CE,6450
HINDALCO,NSE:HINDALCO25OCT950CE,1400
HINDPETRO,NSE:HINDPETRO25OCT505CE,2025
HINDUNILVR,NSE:HINDUNILVR25OCT1320CE,300
HINDZINC,NSE:HINDZINC25OCT345CE,1225
HUDCO,NSE:HUDCO25OCT125CE,2775
ICICIBANK,NSE:ICICIBANK25OCT700CE,700
ICICIGI,NSE:ICICIGI25OCT1040CE,325
ICICIPRULI,NSE:ICICIPRULI25OCT330CE,925
IDEA,NSE:IDEA25OCT16CE,71475
IDFCFIRSTB,NSE:IDFCFIRSTB25OCT94CE,9275
IEX,NSE:IEX25OCT187.5CE,3750
IGL,NSE:IGL25OCT125CE,2750
IIFL,NSE:IIFL25OCT620CE,1650
INDHOTEL,NSE:INDHOTEL25OCT490CE,1000
INDIANB,NSE:INDIANB25OCT910CE,1000
INDIGO,NSE:INDIGO25OCT2900CE,150
INDUSINDBK,NSE:INDUSINDBK25OCT540CE,700
INDUSTOWER,NSE:INDUSTOWER25OCT230CE,1700
INFY,NSE:INFY25OCT760CE,400
INOXWIND,NSE:INOXWIND25OCT65CE,3272
IOC,NSE:IOC25OCT84CE,4875
IRCTC,NSE:IRCTC25OCT390CE,875
IREDA,NSE:IREDA25OCT85CE,3450
IRFC,NSE:IRFC25OCT66CE,4250
ITC,NSE:ITC25OCT225CE,1600
JINDALSTEL,NSE:JINDALSTEL25OCT600CE,625
JIOFIN,NSE:JIOFIN25OCT200CE,2350
JSWENERGY,NSE:JSWENERGY25OCT320CE,1000
JSWSTEEL,NSE:JSWSTEEL25OCT680CE,675
JUBLFOOD,NSE:JUBLFOOD25OCT320CE,1250
KALYANKJIL,NSE:KALYANKJIL25OCT360CE,1175
KAYNES,NSE:KAYNES25OCT4400CE,100
KEI,NSE:KEI25OCT2400CE,175
KFINTECH,NSE:KFINTECH25OCT600CE,450
KOTAKBANK,NSE:KOTAKBANK25OCT1280CE,400
KPITTECH,NSE:KPITTECH25OCT640CE,400
LAURUSLABS,NSE:LAURUSLABS25OCT560CE,1700
LICHSGFIN,NSE:LICHSGFIN25OCT360CE,1000
LICI,NSE:LICI25OCT480CE,700
LODHA,NSE:LODHA25OCT640CE,450
LT,NSE:LT25OCT2400CE,175
LTF,NSE:LTF25OCT295PE,4462
LTIM,NSE:LTIM25OCT3000CE,150
LUPIN,NSE:LUPIN25OCT1080CE,425
M&M,NSE:M&M25OCT2100CE,200
MANAPPURAM,NSE:MANAPPURAM25OCT150CE,3000
MANKIND,NSE:MANKIND25OCT1300CE,225
MARICO,NSE:MARICO25OCT420CE,1200
MARUTI,NSE:MARUTI25OCT12500CE,50
MAXHEALTH,NSE:MAXHEALTH25OCT640CE,525
MAZDOCK,NSE:MAZDOCK25OCT1700CE,175
MCX,NSE:MCX25OCT4600CE,125
MFSL,NSE:MFSL25OCT920CE,800
MIDCPNIFTY,NSE:MIDCPNIFTY25OCT10225CE,140
MOTHERSON,NSE:MOTHERSON25OCT87.5PE,6150
MPHASIS,NSE:MPHASIS25OCT1700CE,275
MUTHOOTFIN,NSE:MUTHOOTFIN25OCT2250CE,275
NATIONALUM,NSE:NATIONALUM25OCT125CE,3750
NAUKRI,NSE:NAUKRI25OCT980CE,375
NBCC,NSE:NBCC25OCT97.5PE,6500
NCC,NSE:NCC25OCT135CE,2700
NESTLEIND,NSE:NESTLEIND25OCT700CE,500
NHPC,NSE:NHPC25OCT46CE,6400
NIFTY,NSE:NIFTY25O1430150CE,75
NIFTYNXT50,NSE:NIFTYNXT5025OCT36000CE,25
NMDC,NSE:NMDC25OCT42CE,13500
NTPC,NSE:NTPC25OCT190CE,1500
NUVAMA,NSE:NUVAMA25OCT3800CE,75
NYKAA,NSE:NYKAA25OCT177.5CE,3125
OBEROIRLTY,NSE:OBEROIRLTY25OCT920CE,350
OFSS,NSE:OFSS25OCT4600CE,75
OIL,NSE:OIL25OCT250CE,1400
ONGC,NSE:ONGC25OCT165CE,2250
PAGEIND,NSE:PAGEIND25OCT23000CE,15
PATANJALI,NSE:PATANJALI25OCT360CE,900
PAYTM,NSE:PAYTM25OCT1020CE,725
PERSISTENT,NSE:PERSISTENT25OCT3000CE,100
PETRONET,NSE:PETRONET25OCT170CE,1800
PFC,NSE:PFC25OCT270CE,1300
PGEL,NSE:PGEL25OCT300CE,700
PHOENIXLTD,NSE:PHOENIXLTD25OCT840CE,350
PIDILITIND,NSE:PIDILITIND25OCT1020CE,500
PIIND,NSE:PIIND25OCT1900CE,175
PNB,NSE:PNB25OCT66CE,8000
PNBHOUSING,NSE:PNBHOUSING25OCT540CE,650
POLICYBZR,NSE:POLICYBZR25OCT1450PE,350
POLYCAB,NSE:POLYCAB25OCT4600CE,125
POWERGRID,NSE:POWERGRID25OCT170CE,1900
POWERINDIA,NSE:POWERINDIA25OCT10500CE,50
PPLPHARMA,NSE:PPLPHARMA25OCT125CE,2500
PRESTIGE,NSE:PRESTIGE25OCT840CE,450
RBLBANK,NSE:RBLBANK25OCT205CE,3175
RECLTD,NSE:RECLTD25OCT230CE,1275
RELIANCE,NSE:RELIANCE25OCT780CE,500
RVNL,NSE:RVNL25OCT190CE,1375
SAIL,NSE:SAIL25OCT112.5PE,4700
SAMMAANCAP,NSE:SAMMAANCAP25OCT105CE,4300
SBICARD,NSE:SBICARD25OCT460CE,800
SBILIFE,NSE:SBILIFE25OCT960CE,375
SBIN,NSE:SBIN25OCT500CE,750
SHREECEM,NSE:SHREECEM25OCT16000CE,25
SHRIRAMFIN,NSE:SHRIRAMFIN25OCT340CE,825
SIEMENS,NSE:SIEMENS25OCT1600CE,125
SOLARINDS,NSE:SOLARINDS25OCT7500CE,75
SONACOMS,NSE:SONACOMS25OCT220CE,1050
SRF,NSE:SRF25OCT1700CE,200
SUNPHARMA,NSE:SUNPHARMA25OCT920CE,350
SUPREMEIND,NSE:SUPREMEIND25OCT3300CE,175
SUZLON,NSE:SUZLON25OCT34CE,8000
SYNGENE,NSE:SYNGENE25OCT340CE,1000
TATACONSUM,NSE:TATACONSUM25OCT660CE,550
TATAELXSI,NSE:TATAELXSI25OCT2800CE,100
TATAMOTORS,NSE:TATAMOTORS25OCT510CE,800
TATAPOWER,NSE:TATAPOWER25OCT210CE,1450
TATASTEEL,NSE:TATASTEEL25OCT95CE,5500
TATATECH,NSE:TATATECH25OCT490CE,800
TCS,NSE:TCS25OCT1640CE,175
TECHM,NSE:TECHM25OCT760CE,600
TIINDIA,NSE:TIINDIA25OCT2050CE,200
TITAGARH,NSE:TITAGARH25OCT580CE,725
TITAN,NSE:TITAN25OCT3050PE,175
TORNTPHARM,NSE:TORNTPHARM25OCT2100CE,250
TORNTPOWER,NSE:TORNTPOWER25OCT680CE,375
TRENT,NSE:TRENT25OCT3000CE,100
TVSMOTOR,NSE:TVSMOTOR25OCT2450CE,350
ULTRACEMCO,NSE:ULTRACEMCO25OCT7800CE,50
UNIONBANK,NSE:UNIONBANK25OCT102.5CE,4425
UNITDSPR,NSE:UNITDSPR25OCT760CE,400
UNOMINDA,NSE:UNOMINDA25OCT1020CE,550
UPL,NSE:UPL25OCT420CE,1355
VBL,NSE:VBL25OCT260CE,1025
VEDL,NSE:VEDL25OCT270CE,1150
VOLTAS,NSE:VOLTAS25OCT760CE,375
WIPRO,NSE:WIPRO25OCT135CE,3000
YESBANK,NSE:YESBANK25OCT13CE,31100
ZYDUSLIFE,NSE:ZYDUSLIFE25OCT580CE,900
